epoch,accuracy,loss,lr,mean_iou,val_accuracy,val_loss,val_mean_iou
0,0.9622122,0.4863635756548232,0.001,0.67984176,0.9683841466903687,0.40361589193344116,0.7140808701515198
1,0.9654026,0.45209270562356785,0.0009960573,0.70464563,0.9698495864868164,0.4168088734149933,0.6944282054901123
2,0.96652114,0.43936302092431134,0.0009842915,0.71461904,0.9689543843269348,0.4319629669189453,0.6996140480041504
3,0.9675175,0.4320913404993087,0.00096488826,0.72315496,0.9729909300804138,0.44563522934913635,0.751076877117157
4,0.9681882,0.42417490973071825,0.00093815336,0.72526354,0.9751920104026794,0.4538038969039917,0.7590935826301575
5,0.9684015,0.4206509785423148,0.0009045085,0.7287483,0.9719985723495483,0.4047606885433197,0.7476061582565308
